Contract,Question,Answer,Source Page No,Evaluation Azure,Result Azure,Evaluation Chroma,Result Chroma,Question Category
contract sample-1.pdf,What specific original document must be returned to show that the aircraft is certified as airworthy?,The original copy of the Certificates of Airworthiness issued by the FAA and/or EASA must be returned.,26,Yes," To answer your query, the specific original document that must be returned to show that the aircraft is certified as airworthy is the Certificate of Airworthiness, which is issued by the Federal Aviation Administration (FAA) and/or European Aviation Safety Agency (EASA). This document confirms that the aircraft meets the required safety standards and regulations.",Yes," The specific original document that must be returned to show that the aircraft is certified as airworthy is the Certificate of Airworthiness, issued by the Federal Aviation Administration (FAA) and/or European Aviation Safety Agency (EASA).",Specific/Factual
contract sample-1.pdf,"What document is required in digital format to report on the aircraft's engine performance, and how many cycles must it cover?",The Engine Performance Reports covering the last 5 engine performance cycles must be provided in digital copy.,26,Yes, The document required to report on an aircraft's engine performance is called Engine Performance Reports. These reports should cover the last 5 engine performance cycles in a digital format.,Yes, The document required to report on an aircraft's engine performance is called Engine Performance Reports. These reports should cover the last 5 engine performance cycles in a digital format.,Specific/Factual
contract sample-1.pdf,"What proof of insurance must the Lessee provide upon returning the aircraft, and in what format?",The Lessee must provide certified copies of all insurance policies covering the aircraft during the lease term.,26,Yes," The Lessee must provide the Lessor with certified copies of all insurance policies during the lease term, naming the Lessor as an additional insured and loss payee, issued by reputable insurance carriers with an A.M. Best rating of at least A- or equivalent, and including provisions requiring 30 days' prior written notice before cancellation or modification. The Lessee also agrees to provide the Lessor with renewal certificates or proof of replacement coverage before the expiration of any policy to ensure no lapse in insurance protection.",Yes," The Lessee must provide the Lessor with certified copies of all insurance policies during the lease term, naming the Lessor as an additional insured and loss payee, issued by reputable insurance carriers with an A.M. Best rating of at least A- or equivalent, and including provisions requiring 30 days' prior written notice before cancellation or modification. The Lessee also agrees to provide renewal certificates or proof of replacement coverage before the expiration of existing policies. Insurance policies must also include a waiver of subrogation in favour of the Lessor. Upon returning the aircraft, the Lessee must provide the Lessor with certified copies of all insurance policies as proof of compliance with the lease agreement.",Specific/Factual
contract sample-1.pdf,Who is responsible for ensuring that the aircraft’s avionics are fully functional and calibrated when returned?,"The Lessee is responsible for ensuring that the aircraft’s avionics are fully functional, up to date, and calibrated before returning the aircraft.",26,Yes," The lessee is responsible for ensuring that the avionics are fully functional and calibrated when the aircraft is returned. According to the provided text, the lessee is in charge of performing all routine and scheduled maintenance, repairs, and inspections, including avionics updates and calibrations.",Yes," The Lessee is responsible for ensuring that the avionics are fully functional and calibrated when the aircraft is returned. According to the provided information, the Lessee is responsible for performing all routine and scheduled maintenance, repairs, and inspections, including those related to avionics. They must ensure that the avionics are up-to-date with the latest software updates and calibration records.",Specific/Factual
contract sample-1.pdf,"How long is the cure period for a payment default under the lease agreement, and what happens if the Lessee fails to cure the default within this period?","The cure period for a payment default is 10 business days from the date the payment is due. If the Lessee fails to cure the default within this 10-day period, the Lessor may declare an event of default and exercise its remedies under Section 18 of the Agreement.",28,Yes," The cure period for a payment default under the lease agreement is 10 business days. If the Lessee fails to cure the default within this period, the Lessor may declare an event of default and exercise its remedies under Section 18. In addition to the obligation to cure the default within 10 days, the Lessee shall pay a late payment penalty of 2% of the overdue amount for each day the payment remains unpaid beyond the due date.

There is no cure period for certain events such as insolvency, bankruptcy, or liquidation, misrepresentation, unauthorized alterations or transfers, or regulatory violations. In these cases, the Lessor is entitled to immediately terminate the agreement and repossess the aircraft.

If the Lessee fails to cure any default within the applicable cure period, the Lessor may exercise any or all of the following remedies: terminate the agreement, repossess the aircraft, and accelerate payments.",Yes," The cure period for a payment default under the lease agreement is 10 business days. If the Lessee fails to cure the default within this period, the Lessor may declare an event of default and exercise its remedies under Section 18, which may include terminating the agreement, repossessing the aircraft, and accelerating payments. There is no cure period for certain events such as insolvency, bankruptcy, or liquidation, and abandonment of the aircraft.",Numerical
contract sample-1.pdf,What penalty does the Lessee incur if a payment remains unpaid beyond the due date?,The Lessee incurs a late payment penalty of 2% of the overdue amount for each day the payment remains unpaid beyond the due date.,28,Yes," If a payment remains unpaid beyond the due date by the Lessee, they will incur a late payment penalty of 2% of the overdue amount for each day the payment remains unpaid. This penalty is in addition to the obligation to cure the default within 10 days.",Yes," If a payment remains unpaid beyond the due date by the Lessee, they will incur a late payment penalty of 2% of the overdue amount for each day the payment remains unpaid. This penalty is in addition to the obligation to cure the default within 10 business days.",Specific/Factual
contract sample-1.pdf,"What is the cure period for non-payment defaults, and what must the Lessee do within 10 business days of receiving notice of the default?","The cure period for non-payment defaults is 30 days. Within 10 business days of receiving notice of the default from the Lessor, the Lessee must provide written notice of the steps being taken to cure the breach.",28,Yes," The cure period for a non-payment default is 10 business days. During this period, the Lessee must pay the overdue amount and the late payment penalty. If the Lessee fails to cure the default within this period, the Lessor may declare an event of default and exercise its remedies under Section 18. For other breaches, the Lessee has a 30-day cure period to remedy the breach by providing written notice of the steps being taken to cure the breach within 10 business days of receiving notice from the Lessor and fully remedying the breach within 30 days. There is no cure period for certain events such as insolvency, bankruptcy, or liquidation.",Yes," The cure period for a non-payment default is 10 business days, during which the Lessee must pay the overdue amount and a late payment penalty. If the Lessee fails to cure the default within this period, the Lessor may declare an event of default and exercise its remedies. For other types of defaults, such as breach of a material covenant or regulatory violations, the Lessee may have a 30-day cure period to remedy the breach. If the breach cannot be remedied within the 30-day period, the Lessee must demonstrate that it has commenced a cure and provide a reasonable timeline for completion, subject to Lessor's approval. There is no cure period for certain events, such as insolvency, bankruptcy, or liquidation, and abandonment of the aircraft.",Numerical
contract sample-1.pdf,What happens if the Lessee cannot remedy a non-payment default within the 30-day cure period?,"If the Lessee cannot remedy the breach within the 30-day period due to its nature, they must demonstrate that they have commenced a cure and provide a reasonable timeline for completion, subject to the Lessor's approval.",28,Yes," If the Lessee cannot remedy a non-payment default within the 30-day cure period, the Lessor may declare an event of default and exercise its remedies under Section 18. These remedies may include terminating the agreement, repossessing the aircraft, or accelerating payments. No cure period applies for certain events, such as insolvency, bankruptcy, or liquidation.",Yes," If the Lessee cannot remedy a non-payment default within the 30-day cure period, the Lessor may declare an event of default and exercise its remedies under Section 18. This may include terminating the agreement, repossessing the aircraft, or accelerating payments. There is no cure period for certain events such as insolvency, bankruptcy, or liquidation.",Descriptive
contract sample-1.pdf,"Are there any situations where no cure period is applicable, and what are the consequences?","Yes, no cure period is applicable in the case of the Lessee’s insolvency, bankruptcy, or liquidation, or if the Lessee abandons the aircraft. In these events, the Lessor is entitled to immediately terminate the Agreement and repossess the aircraft.",28,Yes," There are certain situations where no cure period is applicable, specifically for insolvency, bankruptcy, or liquidation of the Lessee, and for abandonment of the Aircraft by the Lessee. In these cases, the Lessor has the right to immediately terminate the agreement and repossess the Aircraft without any opportunity for the Lessee to cure the default.

The consequences of these defaults can be severe for the Lessee, as the Lessor may exercise their remedies under Section 18, which includes terminating the agreement, repossessing the Aircraft, and accelerating payments. In the case of insolvency or bankruptcy, the Lessee may lose their right to use the Aircraft, and the Lessor may seek to recover any losses incurred through other means.

It's important to note that the specific terms of the lease agreement may vary, so it's essential to consult the agreement for the exact provisions that apply to your situation.",Yes," There are certain situations where no cure period is applicable, specifically for insolvency, bankruptcy, or liquidation of the Lessee, and for abandonment of the Aircraft by the Lessee. In these cases, the Lessor is entitled to immediately terminate the agreement and repossess the Aircraft without any opportunity for the Lessee to cure the default.

The consequences of these defaults can be severe for the Lessee, as the Lessor may take possession of the Aircraft and terminate the lease agreement. This could result in the Lessee losing the use of the aircraft and potentially incurring additional costs for the Lessor to repossess and store the Aircraft. In the case of insolvency or bankruptcy, the Lessee may also be liable for any unpaid rent or additional rent, as well as any late payment penalties that accrued prior to the termination of the agreement.",Descriptive
contract sample-2.pdf,"What type of APU is installed on the aircraft, and does it have a serial number?","The APU installed on the aircraft is a AP-1000, and and the serial number is APU-54321.",31,Yes, The type of APU (Auxiliary Power Unit) installed on the aircraft is the AP-1000 manufactured by TAE Aerospace. The serial number for this specific APU is APU-54321.,No," The APU (Auxiliary Power Unit) installed on the aircraft is a TAE Aerospace AP-1000, and according to the provided information, there is no serial number mentioned in the context given.",Specific/Factual
contract sample-2.pdf,what type of engines are on the aircraft?,"The aircraft is equipped with Pratt & Whitney PW1100G engines, with serial numbers 1234 and 5678.",31,No," The aircraft is expected to be delivered with engines that are in compliance with the original equipment manufacturer's specifications and have less than 2,000 hours since the last overhaul. The engines must also meet performance criteria. I cannot determine the specific engine type from the provided information.",No, The aircraft is expected to be delivered with engines that are in mid-life status and have no major defects. The engine overhaul records are required to ensure that the engines meet the performance criteria. The type and model of the engines are not specified in the provided information.,Specific/Factual
contract sample-2.pdf,What is the maximum takeoff weight?,"85,000 KGS",31,Yes," The maximum takeoff weight (MTOW) of the Aircraft is 85,000 KGS.",No," I'm an intelligent assistant specialising in aircraft lease agreements. I'm unable to determine the maximum takeoff weight directly from the provided information. The tables only list various costs related to aircraft operation, such as insurance, maintenance, fuel, airport fees, and crew costs. To find the maximum takeoff weight, you would need to refer to the specific aircraft's specifications or the lease agreement itself.",Numerical
contract sample-2.pdf,which aircraft / contract is this for? give me summary information about the aircarft.,"The contract, titled ""contract sample-2.pdf,"" is for the lease of a SkyLiner A350 aircraft. The aircraft has a manufacturer's serial number of 2098745 and a registration number of G12345. The basic rent for the lease is $180,000 per month, and details regarding the delivery date and lease term are outlined in Sections 3 and 4 of the agreement.",3,Yes," This lease agreement is for a SkyLiner A350 aircraft with the manufacturer's serial number 2098745 and registration number G12345. The aircraft is leased from AeroSky Rentals Ltd. to BlueJet Airways Corp. for a term of 5 years, commencing on August 1, 2025, and ending on August 1, 2030. The monthly rent is $180,000, and there is an additional maintenance reserve payment of $45,000 per month. The aircraft is for commercial charter services and must be operated in accordance with all relevant laws, regulations, and aviation safety standards. The aircraft is leased on an ""as-is, where-is"" basis, and the lessor makes no warranties or representations, except as expressly stated in the agreement. The governing law is the laws of the State of New York, and any disputes will be resolved through arbitration in New York City.",Yes," This lease agreement is for a SkyLiner A350 aircraft with the manufacturer's serial number 2098745 and registration number G12345. The aircraft is equipped with two Rolls-Royce Trent XWB engines and is governed by New York law. The lease term is for 60 months, beginning on August 10, 2025, and the lessee, BlueJet Airways Corp., will pay a basic rent of $180,000 per month, along with an additional maintenance reserve payment of $45,000 per month. The aircraft was delivered and accepted at Toronto Pearson International Airport on August 10, 2025.",Descriptive
contract sample-2.pdf,Please create a table detailing the unscheduled maintenance costs for this aircraft. ,"Component Type of Repair Estimated Cost(USD) Time to Repair Engine Minor damage $120,000 3 weeks Landing Gear Hydraulic issues $60,000 2 week Avionics Communication fault $20,000 4 days",14,Yes," I have created a table summarising the unscheduled maintenance costs for the aircraft's engine, landing gear, and avionics, as per the provided information:

| Component | Type of Repair | Estimated Cost (USD) | Time to Repair |
| --- | --- | --- | --- |
| Engine | Minor damage | $120,000 | 3 weeks |
| Landing Gear | Hydraulic issues | $60,000 | 2 weeks |
| Avionics | Communication fault | $20,000 | 4 days |

Please note that this table represents the estimated costs and repair times for unscheduled maintenance events related to the mentioned components. Regular scheduled maintenance costs, frequencies, providers, and next scheduled dates are detailed in the other table provided.",Yes," I. Scheduled Maintenance Costs

<table>
<tr>
<th>Maintenance Type</th>
<th>Frequency</th>
<th>Estimated Cost (USD)</th>
<th>Provider</th>
<th>Next Scheduled Date</th>
</tr>
<tr>
<td>Line Maintenance</td>
<td>Every 600 flight hours</td>
<td>$30,000</td>
<td>[Provider Name]</td>
<td>February 10, 2025</td>
</tr>
<tr>
<td>Heavy Maintenance</td>
<td>Every 2.5 years</td>
<td>$1,200,000</td>
<td>[Provider Name]</td>
<td>August 15, 2026</td>
</tr>
<tr>
<td>Engine Overhaul</td>
<td>Every 5,500 cycles</td>
<td>$4,500,000</td>
<td>[Provider Name]</td>
<td>TBD based on usage</td>
</tr>
<tr>
<td>Avionics Check</td>
<td>Annual</td>
<td>$120,000</td>
<td>[Provider Name]</td>
<td>November 20, 2024</td>
</tr>
<tr>
<td>Landing Gear Overhaul</td>
<td>Every 8 years</td>
<td>$800,000</td>
<td>[Provider Name]</td>
<td>September 1, 2030</td>
</tr>
</table>

II. Unscheduled Maintenance Costs

<table>
<tr>
<th>Component</th>
<th>Type of Repair</th>
<th>Estimated Cost (USD)</th>
<th>Time to Repair</th>
</tr>
<tr>
<td>Engine</td>
<td>Minor damage</td>
<td>$120,000</td>
<td>3 weeks</td>
</tr>
<tr>
<td>Landing Gear</td>
<td>Hydraulic issues</td>
<td>$60,000</td>
<td>2 weeks</td>
</tr>
<tr>
<td>Avionics</td>
<td>Communication fault</td>
<td>$20,000</td>
<td>4 days</td>
</tr>
</table>

The Lessee is responsible for covering unscheduled maintenance costs as detailed in the table above.",Tabular
contract sample-2.pdf,Please list out the key terms of Rent,"1. Basic Rent: The Lessee shall pay a Basic Rent of $180,000 per month, payable in advance on the first business day of each month. 2. Additional Costs: Any costs arising from the Lessee’s use of the Aircraft, such asinsurance, taxes, or operational expenses, are summarized below: Category Cost Description Frequency Estimated Annual Amount (USD) Insurance Hull and liability coverage Annually $2,200,000 Maintenance Reserve Engine and airframe maintenance Monthly $40,000 Fuel Costs Based on flight hours and routes Per flight $450/hour Airport Fees Landing, parking, handling Per use $1,800 per landing Crew Costs Pilot and cabin crew salaries Monthly $90,000",6,Yes," The key terms of rent under this aircraft lease agreement are as follows:

1. Basic Rent: The Lessee pays a Basic Rent of $180,000 per month, payable in advance on the first business day of each month.
2. Additional Costs: The Lessee is responsible for additional costs such as insurance, taxes, maintenance reserves, fuel costs, airport fees, and crew costs.
3. Acceleration of Payments: The Lessor may declare all outstanding rent and additional rent due for the remaining term of the lease immediately payable by the Lessee.
4. Claim Damages: The Lessor may seek damages for any losses incurred due to the Lessee's default, including any costs related to repossessing, repairing, or re-leasing the Aircraft.
5. Set-Off Rights: The Lessor may exercise its right of set-off against any security deposits, maintenance reserves, or other amounts held by the Lessor to satisfy any obligations owed by the Lessee.
6. Legal Action: The Lessor may initiate legal proceedings to enforce its rights under this Agreement and recover any damages or unpaid amounts due.

Additionally, the Lessee acknowledges that they have no right, title, or interest in the Aircraft other than the right to use it under the terms of this Agreement. The Lessee agrees not to challenge or impair the Lessor's ownership rights and agrees to execute any documents, instruments, or other forms of assurances as the Lessor may reasonably request to ensure and maintain the Lessor's ownership rights and interest in the Aircraft.",Yes," The key terms of rent in an aircraft lease agreement include:

1. Basic Rent: The Lessee pays a fixed amount of rent per month, payable in advance.
2. Title: The Lessor retains full ownership of the aircraft during the lease term, and the Lessee has no right to it other than the right to use it under the agreement.
3. Further Assurances: The Lessee agrees to execute any documents required to ensure and maintain the Lessor's ownership rights.
4. Acceleration of Payments: The Lessor may demand payment of all outstanding rent and additional rent due immediately.
5. Claim Damages: The Lessor may seek damages for losses incurred due to the Lessee's default.
6. Set-Off Rights: The Lessor may use security deposits, maintenance reserves, or other amounts held to satisfy unpaid obligations.
7. Legal Action: The Lessor may initiate legal proceedings to enforce its rights and recover unpaid amounts.
8. Assignment by Lessor: The Lessor may assign its rights and obligations to a third party.
9. Assignment by Lessee: The Lessee may not assign or sublease the aircraft without the Lessor's consent.
10. Perfection of Title and Further Assurances: The Lessee agrees to cooperate with the Lessor to ensure proper registration or deregistration of the aircraft with relevant authorities.",Specific/Factual
contract sample-2.pdf,"what is the name of the lessor, lessee, and MSN number?","The name of the lessor is AeroSky Rentals Ltd., the lessee is BlueJet Airways Corp., and the manufacturer’s serial number (MSN) is 2098745.",1,Yes," Based on the provided document, the lessor is not explicitly named. However, it is mentioned that the Lessor retains full legal and beneficial title to the aircraft during the lease term. Therefore, the lessor can be identified as the entity that holds the legal ownership of the aircraft during the lease period.

The lessee is identified as Michael Brown, Vice President of Operations.

The MSN (Manufacturer's Serial Number) of the aircraft is 2098745.",No,"I'm sorry, I don't know that",Specific/Factual
contract sample-2.pdf,Is the rent fixed or floating and what are the amounts?,"The rent is fixed. The amounts are as follows:

Basic Rent: $180,000 per month, payable in advance on the first business day of each month.
Additionally, there are additional costs associated with the use of the aircraft:

Category	Cost Description	Frequency	Estimated Annual Amount (USD)
Insurance	Hull and liability coverage	Annually	$2,200,000
Maintenance Reserve	Engine and airframe maintenance	Monthly	$40,000
Fuel Costs	Based on flight hours and routes	Per flight	$450/hour
Airport Fees	Landing, parking, handling	Per use	$1,800 per landing
Crew Costs	Pilot and cabin crew salaries	Monthly	$90,000",6,Yes," The Basic Rent is a fixed rent of $180,000 per month, payable in advance on the first business day of each month. The Maintenance Reserve Payments are variable and amount to $40,000 per month. The Lessee is also responsible for various additional costs, some of which are fixed (such as insurance premiums and property taxes) and some of which are variable (such as fuel costs and airport fees). The exact amounts for these variable costs depend on usage. The Lessee is also required to make monthly payments into reserves for engine overhauls, airframe heavy maintenance, and landing gear overhauls. Upon the return of the aircraft, the Lessee is responsible for ensuring it is in the condition outlined in the Return Condition clause and for any necessary maintenance to meet that condition. The Lessee is also responsible for taxes, including sales tax on lease payments, property tax, and international fees, with the exact amounts depending on the jurisdiction and usage. The security deposit is a one-time payment of $600,000 made prior to delivery of the aircraft.",No," Based on the information provided, the lease agreement does not explicitly state whether the rent is fixed or floating. To determine this, you would need to refer to the specific terms and conditions outlined in the lease agreement, particularly in Section 4, which is dedicated to the rent. If the rent amount is specified and does not change throughout the lease term, it is considered fixed. If the rent amount varies based on market conditions or other factors, it is considered floating. Without further information, it is not possible to definitively answer this question.",Specific/Factual
contract sample-2.pdf,Can you please provide a summary table of the aircraft specifications. Include the aircraft type and other elements throughout the lease,"1. AIRFRAME
Manufacturer: AirWorks Aviation
Type and Model: AWX-900
Serial Number: 98765
Maximum Take Off Weight (MTOW): 85,000 KGS
Maximum Landing Weight (MLW): 70,500 KGS
Maximum Zero Fuel Weight (MZFW): 66,500 KGS
2. ENGINES
Engine Manufacturer: Pratt & Whitney
Type and Model: PW1100G
Serial Numbers: 1234 and 5678
3. APU (Auxiliary Power Unit)
Manufacturer: TAE Aerospace
Type and Model: AP-1000
Serial Number: APU-54321
4. LANDING GEAR
Manufacturer: Messier-Bugatti-Dowty
Type and Model: Position P/N S/N
? NLG (Nose Landing Gear): LG-98765-0001 | 15N12345
? LH MLG (Left Hand Main Landing Gear): LG-87654-0001 | 15LH5432
? RH MLG (Right Hand Main Landing Gear): LG-76543-0001 | 15RH6789
5. AIRCRAFT DOCUMENTS
A. Certificates
B. Maintenance Manuals on Boeing Toolbox
A2
Classification: Controlled
C. Airworthiness Directives(AD) Documentation
D. Engineering Documentation
E. Aircraft Maintenance Status Summaries
F.AircraftMaintenance Records
G. Configuration Status
H. AircraftHistorical Records
I. Engine Records
J. APU Records
",31,No," I'm an intelligent assistant specialising in aircraft lease agreements. Based on the context given, I see that you're asking for a summary table of aircraft specifications, including documents required throughout the lease term. Here's a simplified version:

| Document | Description | Required Format |
| --- | --- | --- |
| Flight Logs | All flights during the lease period | Digital and Hard Copy |
| Maintenance Records | Complete maintenance history during the Lease Term | Digital and Hard Copy |
| Certificates of Airworthiness | Latest issued by FAA and/or EASA | Original Copy |
| Engine Performance Reports | Last 5 engine performance cycles | Digital Copy |
| Insurance Policies | Proof of all insurance coverage during the Lease Term | Certified Copy |

Regarding the aircraft type, I'd need more information to provide an accurate answer. Could you please specify the make and model of the aircraft?

If you have any other questions related to aircraft lease agreements, feel free to ask.",No," The aircraft specifications and conditions for return as per the lease agreement include:

1. Airframe: No major damage, routine wear. Required documentation: Last 2 years of maintenance logs.
2. Engines: Mid-life status, no major defects. Required documentation: Engine overhaul records.
3. Avionics: Fully functional. Required documentation: Latest software updates, calibration records.
4. Interior: Normal wear and tear acceptable. Required documentation: Cabin refurbishment records. Lessee responsible for major damage.
5. Exterior: Repainted, no structural damage. Required documentation: Inspection and repaint certificates.

The lessee is also required to return various documents upon the expiration or termination of the lease, including flight logs, maintenance records, certificates of airworthiness, engine performance reports, and insurance policies.

The lessee covenants that they will not allow the aircraft to become subject to any adverse legal process and will indemnify the lessor for any costs, losses, or damages incurred as a result. The aircraft must be returned in the condition specified in the agreement, with no major damage to the airframe, engines, avionics, interior, or exterior.",Tabular
contract sample-2.pdf,What is the MZFW?,"Maximum Zero Fuel Weight (MZFW): 66,500 KGS",31,Yes,"MZFW stands for ""Maximum Zero Fuel Weight."" It is a term used in aviation and refers to the maximum weight of an aircraft when it has no fuel on board. In the context of the lease agreement provided, it is mentioned in Exhibit A under the ""Aircraft Specifications"" section, where it is stated that the maximum zero fuel weight of the aircraft is 66,500 KGS.",No,"MZFW stands for Maximum Zero Fuel Weight. It is a term used to describe the maximum weight of an aircraft when it has no fuel on board. In the context of the lease agreement provided, it is mentioned in the Airframe section of Exhibit A as one of the specifications of the AWX-900 aircraft.",Numerical
contract sample-2.pdf,what is the date of the agreement?,"This Agreement is made on August 10, 2025",1,Yes," The agreement does not explicitly state the date of the agreement in the provided text. However, the agreement was signed on August 10, 2025, by both parties. Therefore, August 10, 2025, can be considered the date of the agreement.",Yes," The delivery date as per the agreement is August 10, 2025, unless otherwise mutually agreed in writing.",Specific/Factual
contract sample-2.pdf,Is there any minimum insurance requirement or MIR?,"Yes, there are minimum insurance requirements (MIR) outlined in the operational insurance clause. The key requirements include:

Hull All-Risk Insurance: Coverage for the full replacement value of the aircraft against physical loss or damage due to any cause.

Hull War Risk Insurance: Coverage for loss or damage resulting from acts of war, terrorism, hijacking, or other hostile actions.

Third-Party Liability Insurance: Minimum liability limits of $600 million per occurrence for bodily injury, death, and property damage to third parties, or higher amounts as mandated by applicable law or required by the lessor.

Passenger Liability Insurance: Minimum coverage of $150,000 per passenger for bodily injury or death, or as stipulated by applicable law.",11,Yes," The lease agreement specifies several types of insurance that the lessee is required to maintain, including:

1. War Risk Insurance: The lessee must maintain war risk insurance with coverage for losses arising from war, terrorism, hijacking, sabotage, unlawful seizure of the Aircraft, and other war-related perils. The policy limits must be no less than $100 million or as specified by the lessor, and it should cover confiscation, seizure, or nationalization of the Aircraft by government or military forces, as well as civil commotions, riots, and other violent disturbances.
2. Crew Liability Insurance: The lessee must maintain insurance to cover any liability arising from claims made by or on behalf of crew members of the Aircraft in relation to bodily injury, death, or other personal harm. The minimum coverage shall be $50 million per occurrence or as required by local labor laws and international regulations.
3. Cargo and Baggage Liability Insurance: If the Aircraft is used for cargo operations, the lessee must maintain cargo liability insurance covering any loss, damage, or destruction of cargo transported on the Aircraft. The policy must provide for coverage limits consistent with the value of the cargo carried and comply with any applicable laws governing cargo liability. The policy should also cover personal baggage of passengers, with minimum coverage limits of $1,500 per passenger.
4. Operational Insurance: The lessee shall procure and maintain comprehensive aviation insurance coverage throughout the entire lease term. This insurance shall include hull all-risk, hull war risk, third-party liability, and passenger liability coverage.
5. Ground Risk Insurance: The lessee must obtain ground risk insurance to cover the Aircraft when it is not in motion, including protection against theft, fire, and natural disasters. The policy must provide coverage for full replacement value or repair costs if the Aircraft is damaged while grounded.

All insurance policies required under this Agreement must include the following provisions:

1. Lessor as Additional Insured and Loss Payee: The lessor shall be named as an additional insured and loss payee under all insurance policies, ensuring that the lessor is fully protected in the event of a claim or loss. Any claims proceeds under the Hull All-Risk, War Risk, or Third-Party Liability policies shall be payable directly to the lessor, or to the lessee and lessor jointly.
2. Waiver of Subrogation: All policies must include a waiver of subrogation in favor of the lessor, ensuring that the insurers cannot seek reimbursement from the lessor for any claims paid under the policy, even in cases where the lessor is found to have contributed to the cause of loss or damage.
3. Primary Insurance: The policies must be primary and non-contributory, meaning they take precedence over any other insurance policies held by the lessor or its affiliates.
4. Non-Cancellation Clause: Each insurance policy must include a 30-day prior written notice provision requiring the insurer to notify the lessor in writing at least 30 days before any cancellation, non-renewal, or material change in the terms or coverage of the policy. In cases where war risk coverage is reduced or cancelled due to an increase in hostilities or political unrest, the insurer must provide seven days' notice to the lessor, with the lessee taking immediate steps to replace or restore the required coverage.",Yes," The lease agreement specifies several types of insurance requirements for the Lessee, including:

1. War Risk Insurance: The Lessee must maintain war risk insurance with coverage for losses arising from war, terrorism, hijacking, sabotage, unlawful seizure, and other war-related perils. The policy limits must be no less than $100 million or as specified by the Lessor, and the Lessor's rights and interests must not be invalidated or diminished by any acts, omissions, or negligence on the part of the Lessee or its agents.

2. Crew Liability Insurance: The Lessee must maintain insurance to cover any liability arising from claims made by or on behalf of crew members for bodily injury, death, or other personal harm. The minimum coverage shall be $50 million per occurrence or as required by local labor laws and international regulations.

3. Cargo and Baggage Liability Insurance: If the Aircraft is used for cargo operations, the Lessee must maintain cargo liability insurance covering any loss, damage, or destruction of cargo transported on the Aircraft. The policy must provide for coverage limits consistent with the value of the cargo carried and comply with any applicable laws governing cargo liability. The policy must also cover personal baggage of passengers, with minimum coverage limits of $1,500 per passenger.

4. Ground Risk Insurance: The Lessee must obtain ground risk insurance to cover the Aircraft when it is not in motion, including protection against theft, fire, and natural disasters. The policy must provide coverage for full replacement value or repair costs if the Aircraft is damaged while grounded.

5. Hull All-Risk Insurance: The Lessee must maintain hull all-risk insurance covering the full replacement value of the Aircraft against physical loss or damage due to any cause, including accidents, fire, theft, vandalism, and natural disasters.

6. Hull War Risk Insurance: The Lessee must maintain hull war risk insurance covering loss or damage resulting from acts of war, terrorism, hijacking, or other hostile actions, as well as confiscation or seizure by government entities.

7. Third-Party Liability Insurance: The Lessee must maintain third-party liability insurance with coverage limits of no less than $500 million per occurrence. This coverage must protect against legal liabilities arising from bodily injury, death, or property damage caused to third parties in connection with the operation or use of the Aircraft.

8. Passenger Liability Insurance: The Lessee must maintain passenger liability coverage that provides for bodily injury or death to passengers aboard the Aircraft, with a minimum coverage of $100,000 per passenger, or as required by applicable law or regulations.

All insurance policies must name the Lessor as an additional insured and loss payee, provide for partial damage and total loss of the Aircraft, and include a waiver of subrogation in favour of the Lessor. The policies must also be primary and non-contributory.",Specific/Factual
contract sample-2.pdf,Are there any Liens in this lease?,"Yes, there are provisions regarding liens in this lease:

Lessee’s Obligation: The lessee is prohibited from creating, permitting, or suffering any liens, charges, or encumbrances on the aircraft, except for those resulting from routine maintenance or repairs, which must be promptly discharged.

Lessor’s Rights: If a lien occurs, the lessor reserves the right to require the lessee to pay any necessary amounts to release such liens within 30 days.",23,Yes," Based on the provided lease agreement text, there is a section (Section 14) that addresses liens. The Lessee is prohibited from creating, permitting, or suffering any liens on the Aircraft, except for liens resulting from routine maintenance or repairs, which must be promptly discharged. The Lessor reserves the right to require the Lessee to pay any amounts necessary to release such liens within 30 days. Therefore, yes, there are lien provisions in the lease agreement.",Yes," The lease agreement includes provisions regarding liens in Section 14. The Lessee is prohibited from creating, permitting, or suffering any liens, charges, or encumbrances on the Aircraft without the Lessor's prior written consent, except for liens resulting from routine maintenance or repairs. The Lessor reserves the right to require the Lessee to pay any amounts necessary to release such liens within 30 days.",Specific/Factual
contract sample-2.pdf,what is the landing weight of the aircraft?,"Maximum Landing Weight (MLW): 70,500 KGS",31,Yes,"The Maximum Landing Weight (MLW) of the aircraft is 70,500 KGS, as stated in Exhibit A under the Aircraft Specifications section.",Yes,"The Maximum Landing Weight (MLW) of the aircraft is 70,500 KGS, as stated in Exhibit A under the Aircraft Specifications section.",Numerical
